exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can00,can00,0x100,0,10000000,6677933655719,6677933736221,6677933902257,16,3,0,0
1,tx_can01,can01,0x200,0,10000000,6677933666108,6677933748221,6677933902127,16,2,0,0
1,tx_can00,can00,0x101,0,20000000,6677933655719,6677934251958,6677934371846,16,3,0,0
1,tx_can01,can01,0x201,0,20000000,6677933666108,6677934405845,6677934526066,16,2,0,0
1,tx_can00,can00,0x110,0,1000000,6677933655719,6677934408086,6677934554900,16,3,0,0
1,tx_can01,can01,0x210,0,1000000,6677933666108,6677934563011,6677934708713,16,2,0,0
1,tx_can00,can00,0x111,0,2000000,6677933655719,6677934590918,6677934734120,16,3,0,0
1,tx_can01,can01,0x211,0,2000000,6677933666108,6677935028414,6677935140358,16,2,0,0
1,tx_can00,can00,0x110,1,1000000,6677934655719,6677935063599,6677935174024,16,3,0,0
1,tx_can01,can01,0x210,1,1000000,6677934666108,6677935187839,6677935330449,16,2,0,0
1,tx_can00,can00,0x110,2,1000000,6677935655719,6677935735445,6677935845518,16,3,0,0
1,tx_can01,can01,0x210,2,1000000,6677935666108,6677935746630,6677935857685,16,2,0,0
1,tx_can01,can01,0x211,1,2000000,6677935666108,6677935895962,6677936065683,16,2,0,0
1,tx_can00,can00,0x111,1,2000000,6677935655719,6677935892944,6677936107016,16,3,0,0
1,tx_can00,can00,0x110,3,1000000,6677936655719,6677936737474,6677936849769,16,3,0,0
1,tx_can01,can01,0x210,3,1000000,6677936666108,6677936746974,6677936859362,16,2,0,0
1,tx_can00,can00,0x110,4,1000000,6677937655719,6677937735410,6677937845224,16,3,0,0
1,tx_can01,can01,0x210,4,1000000,6677937666108,6677937745947,6677937856612,16,2,0,0
1,tx_can00,can00,0x111,2,2000000,6677937655719,6677937893927,6677938035518,16,3,0,0
1,tx_can01,can01,0x211,2,2000000,6677937666108,6677937895038,6677938037444,16,2,0,0
1,tx_can00,can00,0x110,5,1000000,6677938655719,6677938735512,6677938844308,16,3,0,0
1,tx_can01,can01,0x210,5,1000000,6677938666108,6677938746179,6677938856326,16,2,0,0
1,tx_can00,can00,0x110,6,1000000,6677939655719,6677939735097,6677939843485,16,3,0,0
1,tx_can01,can01,0x210,6,1000000,6677939666108,6677939745448,6677939859410,16,2,0,0
1,tx_can00,can00,0x111,3,2000000,6677939655719,6677939890966,6677940057353,16,3,0,0
1,tx_can01,can01,0x211,3,2000000,6677939666108,6677939897669,6677940067057,16,2,0,0
1,tx_can00,can00,0x110,7,1000000,6677940655719,6677940735514,6677940847402,16,3,0,0
1,tx_can01,can01,0x210,7,1000000,6677940666108,6677940745459,6677940855439,16,2,0,0
1,tx_can00,can00,0x110,8,1000000,6677941655719,6677941735506,6677941844616,16,3,0,0
1,tx_can01,can01,0x210,8,1000000,6677941666108,6677941745876,6677941855245,16,2,0,0
1,tx_can00,can00,0x111,4,2000000,6677941655719,6677941892097,6677942032448,16,3,0,0
1,tx_can01,can01,0x211,4,2000000,6677941666108,6677941894412,6677942036855,16,2,0,0
1,tx_can00,can00,0x110,9,1000000,6677942655719,6677942735497,6677942846533,16,3,0,0
1,tx_can01,can01,0x210,9,1000000,6677942666108,6677942745756,6677942855607,16,2,0,0
1,tx_can00,can00,0x100,1,10000000,6677943655719,6677943735119,6677943843192,16,3,0,0
1,tx_can01,can01,0x200,1,10000000,6677943666108,6677943745322,6677943857377,16,2,0,0
1,tx_can01,can01,0x210,10,1000000,6677943666108,6677943896173,6677944050264,16,2,0,0
1,tx_can00,can00,0x110,10,1000000,6677943655719,6677943890154,6677944056042,16,3,0,0
1,tx_can00,can00,0x111,5,2000000,6677943655719,6677944093856,6677944235633,16,3,0,0
1,tx_can01,can01,0x211,5,2000000,6677943666108,6677944095690,6677944239170,16,2,0,0
1,tx_can00,can00,0x110,11,1000000,6677944655719,6677944735647,6677944844072,16,3,0,0
1,tx_can01,can01,0x210,11,1000000,6677944666108,6677944745758,6677944855572,16,2,0,0
