event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301479929343,0,0,can00,tx_can00,256,0,1000000,19301479839843,19301479928436,19301479929343,16,1,0,0
TX,19301480024935,0,1,can00,tx_can00,257,0,2000000,19301479839843,19301479928436,19301480024935,16,1,0,0
TX,19301480043398,0,2,can00,tx_can00,258,0,10000000,19301479839843,19301479928436,19301480043398,16,1,0,0
TX,19301480066657,0,3,can00,tx_can00,259,0,20000000,19301479839843,19301479928436,19301480066657,16,1,0,0
TX,19301480908617,0,0,can00,tx_can00,256,1,1000000,19301480839843,19301480908413,19301480908617,16,1,0,0
TX,19301480970913,2,0,can01,tx_can01,256,0,1000000,19301480896635,19301480970450,19301480970913,16,1,0,0
TX,19301480517341,1,0,can10,tx_can10,256,0,1000000,19301480441637,19301480517137,19301480517341,16,1,0,0
TX,19301481093412,1,1,can10,tx_can10,257,0,2000000,19301480441637,19301480517137,19301481093412,16,1,0,0
TX,19301481114172,1,2,can10,tx_can10,258,0,10000000,19301480441637,19301480517137,19301481114172,16,1,0,0
TX,19301481128616,1,3,can10,tx_can10,259,0,20000000,19301480441637,19301480517137,19301481128616,16,1,0,0
TX,19301481038264,2,1,can01,tx_can01,257,0,2000000,19301480896635,19301480970450,19301481038264,16,1,0,0
TX,19301481398800,2,2,can01,tx_can01,258,0,10000000,19301480896635,19301480970450,19301481398800,16,1,0,0
TX,19301481452615,2,3,can01,tx_can01,259,0,20000000,19301480896635,19301480970450,19301481452615,16,1,0,0
TX,19301481804095,3,0,can11,tx_can11,256,0,1000000,19301481529151,19301481803595,19301481804095,16,1,0,0
TX,19301481985872,2,0,can01,tx_can01,256,1,1000000,19301481896635,19301481985797,19301481985872,16,1,0,0
TX,19301481926335,0,0,can00,tx_can00,256,2,1000000,19301481839843,19301481926224,19301481926335,16,1,0,0
TX,19301482224871,0,1,can00,tx_can00,257,1,2000000,19301481839843,19301481926224,19301482224871,16,1,0,0
TX,19301482288037,3,1,can11,tx_can11,257,0,2000000,19301481529151,19301481803595,19301482288037,16,1,0,0
TX,19301481520022,1,0,can10,tx_can10,256,1,1000000,19301481441637,19301481519596,19301481520022,16,1,0,0
TX,19301482839553,1,0,can10,tx_can10,256,2,1000000,19301482441637,19301482839479,19301482839553,16,1,0,0
TX,19301482973053,2,0,can01,tx_can01,256,2,1000000,19301482896635,19301482972793,19301482973053,16,1,0,0
TX,19301483251181,0,0,can00,tx_can00,256,3,1000000,19301482839843,19301483251070,19301483251181,16,0,0,0
TX,19301483246070,2,1,can01,tx_can01,257,1,2000000,19301482896635,19301482972793,19301483246070,16,1,0,0
TX,19301482919645,1,1,can10,tx_can10,257,1,2000000,19301482441637,19301482839479,19301482919645,16,1,0,0
TX,19301482779627,3,2,can11,tx_can11,258,0,10000000,19301481529151,19301481803595,19301482779627,16,0,0,0
TX,19301483382069,3,3,can11,tx_can11,259,0,20000000,19301481529151,19301481803595,19301483382069,16,0,0,0
TX,19301483677105,1,0,can10,tx_can10,256,3,1000000,19301483441637,19301483677012,19301483677105,16,1,0,0
TX,19301483785179,3,0,can11,tx_can11,256,1,1000000,19301482529151,19301483785105,19301483785179,16,0,0,0
TX,19301483805216,3,1,can11,tx_can11,257,1,2000000,19301483529151,19301483785105,19301483805216,16,0,0,0
TX,19301483988900,0,0,can00,tx_can00,256,4,1000000,19301483839843,19301483988659,19301483988900,16,0,0,0
TX,19301484065363,0,1,can00,tx_can00,257,2,2000000,19301483839843,19301483988659,19301484065363,16,0,0,0
TX,19301484159362,2,0,can01,tx_can01,256,3,1000000,19301483896635,19301484159270,19301484159362,16,1,0,0
TX,19301484508231,1,0,can10,tx_can10,256,4,1000000,19301484441637,19301484508120,19301484508231,16,1,0,0
TX,19301484568657,1,1,can10,tx_can10,257,2,2000000,19301484441637,19301484508120,19301484568657,16,1,0,0
TX,19301484621471,3,0,can11,tx_can11,256,2,1000000,19301484529151,19301484621212,19301484621471,16,0,0,0
TX,19301484915692,0,0,can00,tx_can00,256,5,1000000,19301484839843,19301484915581,19301484915692,16,0,0,0
TX,19301484970377,2,0,can01,tx_can01,256,4,1000000,19301484896635,19301484970229,19301484970377,16,1,0,0
TX,19301485037970,2,1,can01,tx_can01,257,2,2000000,19301484896635,19301484970229,19301485037970,16,1,0,0
TX,19301485507505,1,0,can10,tx_can10,256,5,1000000,19301485441637,19301485507245,19301485507505,16,1,0,0
TX,19301485593967,3,0,can11,tx_can11,256,3,1000000,19301485529151,19301485593856,19301485593967,16,0,0,0
TX,19301485618338,3,1,can11,tx_can11,257,2,2000000,19301485529151,19301485593856,19301485618338,16,0,0,0
TX,19301485906929,0,0,can00,tx_can00,256,6,1000000,19301485839843,19301485906818,19301485906929,16,0,0,0
TX,19301485959873,0,1,can00,tx_can00,257,3,2000000,19301485839843,19301485906818,19301485959873,16,0,0,0
TX,19301486006817,2,0,can01,tx_can01,256,5,1000000,19301485896635,19301486006706,19301486006817,16,1,0,0
TX,19301486508037,1,0,can10,tx_can10,256,6,1000000,19301486441637,19301486507834,19301486508037,16,1,0,0
TX,19301486534797,1,1,can10,tx_can10,257,3,2000000,19301486441637,19301486507834,19301486534797,16,1,0,0
TX,19301486594278,3,0,can11,tx_can11,256,4,1000000,19301486529151,19301486594037,19301486594278,16,0,0,0
TX,19301486916276,0,0,can00,tx_can00,256,7,1000000,19301486839843,19301486916147,19301486916276,16,0,0,0
TX,19301486988035,2,0,can01,tx_can01,256,6,1000000,19301486896635,19301486987758,19301486988035,16,1,0,0
TX,19301487046313,2,1,can01,tx_can01,257,3,2000000,19301486896635,19301486987758,19301487046313,16,1,0,0
TX,19301487510478,1,0,can10,tx_can10,256,7,1000000,19301487441637,19301487510348,19301487510478,16,1,0,0
TX,19301487594959,3,0,can11,tx_can11,256,5,1000000,19301487529151,19301487594737,19301487594959,16,0,0,0
TX,19301487617236,3,1,can11,tx_can11,257,3,2000000,19301487529151,19301487594737,19301487617236,16,0,0,0
TX,19301487908569,0,0,can00,tx_can00,256,8,1000000,19301487839843,19301487908494,19301487908569,16,0,0,0
TX,19301487963365,0,1,can00,tx_can00,257,4,2000000,19301487839843,19301487908494,19301487963365,16,0,0,0
TX,19301487999883,2,0,can01,tx_can01,256,7,1000000,19301487896635,19301487999809,19301487999883,16,1,0,0
TX,19301488510436,1,0,can10,tx_can10,256,8,1000000,19301488441637,19301488510196,19301488510436,16,1,0,0
TX,19301488543955,1,1,can10,tx_can10,257,4,2000000,19301488441637,19301488510196,19301488543955,16,1,0,0
TX,19301488599695,3,0,can11,tx_can11,256,6,1000000,19301488529151,19301488599603,19301488599695,16,0,0,0
